Outcome,GEOID,State,Name,ProjectType,ProjectDescription,ProjectAmount,PDMProgramFY,DisasterCount,POVERTY_RATE,PCT_WHITE,PCT_BLACK,PCT_NATIVE,PCT_ASIAN,PCT_TWO_OR_MORE,PCT_HISPANIC
Grant,50007,VT,"Chittenden County, Vermont",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,18600,2000,11,5.9,90.8,2.6,0.3,3.8,1.9,2.2
Grant,44007,RI,"Providence County, Rhode Island",103.1," Feasibility, Engineering and Design Studies",746190,2000,4,12.6,73.3,9.6,0.6,4.2,3.6,21.6
Grant,55085,WI,"Oneida County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,44000,2000,2,5.7,96.2,0.8,1.1,0.5,1.1,1.4
Grant,26163,MI,"Wayne County, Michigan",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,141827,2000,3,18.5,53.2,39.1,0.3,3.1,2.3,5.7
Grant,55059,WI,"Kenosha County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,22000,2000,5,10.2,85.8,7.5,0.4,1.3,2.9,12.7
Grant,33017,NH,"Strafford County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,9,5.4,93.1,0.9,0,3.3,2.4,2.2
Grant,55019,WI,"Clark County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,20000,2000,8,9.4,96.5,0.6,0.2,0.4,1.2,4.4
Grant,25001,MA,"Barnstable County, Massachusetts",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,53333,2000,6,4.6,92.2,2.7,0.5,1.5,2,2.7
Grant,09011,CT,"New London County, Connecticut",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,110165,2000,9,7.3,81.2,5.7,0.6,4.1,5.2,10
Grant,09001,CT,"Fairfield County, Connecticut",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,50000,2000,8,6.3,73.5,11.3,0.3,5.2,2.8,19
Grant,33013,NH,"Merrimack County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,10,4.8,94.6,1.2,0.1,1.8,2,2
Grant,55123,WI,"Vernon County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,60000,2000,10,10.6,97.2,0.4,0.3,0.5,1,1.6
Grant,55139,WI,"Winnebago County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,59400,2000,3,6.6,92.4,2.1,0.6,2.6,1.5,3.9
Grant,55105,WI,"Rock County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,16000,2000,3,11.1,88.9,4.4,0.1,1.2,3.2,8.4
Grant,55117,WI,"Sheboygan County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,33482,2000,2,5.5,89.4,1.6,0.2,5.4,2.1,6.2
Grant,55007,WI,"Bayfield County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,5,7.7,86.2,0.7,10.2,0.5,2.2,1.7
Grant,55065,WI,"Lafayette County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,20000,2000,5,8.2,97,0.4,0.4,0.3,0.8,3.6
Grant,55039,WI,"Fond du Lac County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,66667,2000,3,6,93.1,1.2,0.5,1.4,1.8,5
Grant,55133,WI,"Waukesha County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,12300,2000,3,3.3,92.6,1.5,0.2,3.2,1.5,4.6
Grant,55039,WI,"Fond du Lac County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,14475,2000,3,6,93.1,1.2,0.5,1.4,1.8,5
Grant,55045,WI,"Green County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,10000,2000,5,5.8,96.7,0.4,0.2,0.7,1.2,3
Grant,55079,WI,"Milwaukee County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,22000,2000,5,15.9,60.6,26.4,0.6,4.1,3.5,14.6
Grant,33015,NH,"Rockingham County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,12,3,95.1,0.7,0.1,1.9,1.6,2.7
Grant,33005,NH,"Cheshire County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,8,5.2,95.5,0.8,0.2,1.3,1.9,1.7
Grant,33011,NH,"Hillsborough County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,10,5.6,90.3,2.5,0.1,3.8,2.3,6.3
Grant,55001,WI,"Adams County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,7,8,93,2.7,0.7,0.6,2.2,3.8
Grant,55017,WI,"Chippewa County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,4,7.1,94.9,1.3,0.2,1.3,2.1,1.7
Grant,33015,NH,"Rockingham County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,12,3,95.1,0.7,0.1,1.9,1.6,2.7
Grant,33009,NH,"Grafton County, New Hampshire",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,14,6.2,92.7,1.2,0.5,3.4,2,2.2
Grant,55023,WI,"Crawford County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,9,8.8,95.5,1.8,0.4,0.5,1.6,1.3
Grant,56013,WY,"Fremont County, Wyoming",90.5, Mitigation Plan - Tribal Multihazard Mitigation Plan,82564,2002,3,8.8,73.3,0.5,20.9,0.1,3.7,6.8
Grant,06071,CA,"San Bernardino County, California",91.1, Local Multihazard Mitigation Plan,30450,2003,7,14.5,61.9,8.4,0.8,6.9,4.7,52.3
Grant,13115,GA,"Floyd County, Georgia",200.3, Acquisition of Public Real Property (Structures and Land) - Riverine,1073152.5,2003,4,14,78.4,14.5,0.1,1.5,1.7,10.6
Grant,17001,IL,"Adams County, Illinois",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,31350,2003,8,9.6,93.1,4,0.3,0.8,1.5,1.5
Grant,06037,CA,"Los Angeles County, California",91.1, Local Multihazard Mitigation Plan,130000,2003,10,13.1,51.8,8.2,0.7,14.5,3.8,48.4
Grant,39061,OH,"Hamilton County, Ohio",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3438459.98,2003,5,12.2,67.9,25.7,0.1,2.5,2.8,3
Grant,19013,IA,"Black Hawk County, Iowa",103.1," Feasibility, Engineering and Design Studies; 
404.1",600000,2003,7,9.8,84.7,8.9,0.3,2.1,2.3,4.2
Grant,09009,CT,"New Haven County, Connecticut",202.2, Elevation of Private Structures - Coastal,100275,2003,9,8.3,74.4,13,0.1,3.9,3,17.2
Grant,17031,IL,"Cook County, Illinois",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,110500,2003,5,12.1,56.6,23.7,0.3,7,2.5,25.1
Grant,17097,IL,"Lake County, Illinois",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,50000,2003,4,6.5,78.4,6.8,0.2,7.2,2.7,21.1
Grant,17091,IL,"Kankakee County, Illinois",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,70000,2003,1,10.9,79.8,15.2,0.3,1,1.9,10.1
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,24853.5,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,12115,FL,"Sarasota County, Florida",205.8, Retrofitting Public Structures - Wind,82116,2003,12,6.2,91.3,4.5,0.2,1.7,1.6,8.8
Grant,48201,TX,"Harris County, Texas",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,996466.75,2003,12,13.9,63.3,18.9,0.4,6.8,2.3,42.2
Grant,12099,FL,"Palm Beach County, Florida",205.8, Retrofitting Public Structures - Wind,55000,2003,12,9.5,74.2,18.5,0.2,2.6,2.2,21.3
Grant,21195,KY,"Pike County, Kentucky",91.1, Local Multihazard Mitigation Plan,101934,2003,16,22,97.5,0.8,0.1,0.5,0.7,0.9
Grant,06037,CA,"Los Angeles County, California",91.1, Local Multihazard Mitigation Plan,1150000,2003,10,13.1,51.8,8.2,0.7,14.5,3.8,48.4
Grant,53061,WA,"Snohomish County, Washington",91.1, Local Multihazard Mitigation Plan,200000,2003,13,5.9,77.2,2.8,0.9,10,5.9,9.8
Grant,72051,PR,"Dorado Municipio, Puerto Rico",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,60000,2003,4,28.9,78.6,12.8,0,0.1,5.6,98.6
Grant,36027,NY,"Dutchess County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,10000,2003,7,6,78.6,10.5,0.4,3.7,3,11.7
Grant,36109,NY,"Tompkins County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2003,6,9.5,80.4,4,0.2,10.3,3.9,4.8
Grant,72097,PR,"Mayagüez Municipio, Puerto Rico",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,60000,2003,3,46.2,36.9,4.1,0.3,0,2.4,99.3
Grant,72113,PR,"Ponce Municipio, Puerto Rico",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,60000,2003,6,47.9,78.7,5,0.1,0.1,9.4,99.3
Grant,72141,PR,"Utuado Municipio, Puerto Rico",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,60000,2003,11,48,72.4,2,0.2,1,2.4,99.5
Grant,36119,NY,"Westchester County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,33333,2003,8,6.5,65.4,14.6,0.4,5.9,3,24
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,21227,KY,"Warren County, Kentucky",91.1, Local Multihazard Mitigation Plan,129308.12,2003,3,12.2,82,9.3,0.4,3.3,2.3,5.1
Grant,13113,GA,"Fayette County, Georgia",403.1, Stormwater Management - Culverts,23250,2003,3,5.2,69.1,21.2,0.3,4.5,3.2,7.1
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,35057,NM,"Torrance County, New Mexico",91.1, Local Multihazard Mitigation Plan,26325,2003,3,20.8,90.8,1.7,1.1,0.2,4.2,42.1
Grant,19193,IA,"Woodbury County, Iowa",91.1, Local Multihazard Mitigation Plan,6000,2003,5,10.1,86.3,3.2,1.8,2.8,2.9,15.8
Grant,55005,WI,"Barron County, Wisconsin",400.1," Utility Protective Measures (Electric, Gas, etc.)",138600,2003,4,7.4,95.7,1.2,0.8,0.7,1.1,2.4
Grant,06071,CA,"San Bernardino County, California",91.1, Local Multihazard Mitigation Plan,154437,2003,7,14.5,61.9,8.4,0.8,6.9,4.7,52.3
Grant,19049,IA,"Dallas County, Iowa",91.1, Local Multihazard Mitigation Plan,5000,2003,8,3.4,91.3,1.3,0.1,4.2,2.1,6.1
Grant,36015,NY,"Chemung County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,34000,2003,6,11.6,88.3,6,0.5,1.6,3.2,3
Grant,36053,NY,"Madison County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,39333,2003,11,7.8,94.8,2,0.6,0.8,1.4,2.1
Grant,36093,NY,"Schenectady County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40400,2003,10,8.4,77.8,10.3,0.2,4.7,3.5,6.7
Grant,36003,NY,"Allegany County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,38650,2003,9,11.7,95.5,1.4,0.3,1.2,1.1,1.5
Grant,36035,NY,"Fulton County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,16044,2003,7,11.4,94.7,1.8,0.3,0.7,1.5,2.8
Grant,36095,NY,"Schoharie County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,20000,2003,12,9.8,96,1.6,0.2,0.9,1.1,3
Grant,36101,NY,"Steuben County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,24700,2003,8,9.8,94.9,1.6,0.1,1.5,1.5,1.6
Grant,36097,NY,"Schuyler County, New York",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,8040,2003,4,10.8,96.6,1.4,0.1,0.5,1.3,1.8
Grant,09009,CT,"New Haven County, Connecticut",202.2, Elevation of Private Structures - Coastal,854700,2003,9,8.3,74.4,13,0.1,3.9,3,17.2
Grant,34033,NJ,"Salem County, New Jersey",800.1, Miscellaneous,1628092,2003,6,10.8,80.6,13.3,0.2,1,2.9,8.3
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,33811,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,37716,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,41005,OR,"Clackamas County, Oregon",205.3," Non Structural Retrofitting/Rehabilitating Private Structures - Seismic; 
205.5",305700,2003,5,6.1,88.6,1,0.7,4.1,3.6,8.4
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,117046,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,48201,TX,"Harris County, Texas",202.1, Elevation of Private Structures - Riverine,2009340,2003,12,13.9,63.3,18.9,0.4,6.8,2.3,42.2
Grant,26053,MI,"Gogebic County, Michigan",900.1," Hazard Identification; 
93.1",5546.91,2003,3,13.7,90.4,4.3,2.7,0.3,2.1,1.3
Grant,06067,CA,"Sacramento County, California",91.1, Local Multihazard Mitigation Plan,103126.3,2003,4,12.6,58.7,9.9,0.7,15.3,7,22.8
Grant,09009,CT,"New Haven County, Connecticut",202.2, Elevation of Private Structures - Coastal,86100,2003,9,8.3,74.4,13,0.1,3.9,3,17.2
Grant,55037,WI,"Florence County, Wisconsin",91.1, Local Multihazard Mitigation Plan,45000,2003,1,5.3,99.4,0.3,0,0,0.3,0.9
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,50023,VT,"Washington County, Vermont",91.1, Local Multihazard Mitigation Plan,600000,2003,13,8.7,96,0.9,0.3,0.7,2,1.9
Grant,13305,GA,"Wayne County, Georgia",205.8, Retrofitting Public Structures - Wind,1713962,2003,4,14.9,74.7,20,0.1,0.5,2.8,6.2
Grant,04019,AZ,"Pima County, Arizona",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,1781198.23,2003,2,12.8,76.9,3.5,3.5,2.8,4.5,36.6
Grant,12086,FL,"Miami-Dade County, Florida",205.7, Retrofitting Private Structures - Wind,494513,2003,10,15.6,75.6,18,0.1,1.6,1.5,67.5
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,19700,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,12086,FL,"Miami-Dade County, Florida",205.8, Retrofitting Public Structures - Wind,573300,2003,10,15.6,75.6,18,0.1,1.6,1.5,67.5
Grant,53027,WA,"Grays Harbor County, Washington",91.1, Local Multihazard Mitigation Plan,67000,2003,12,10.1,88,1,4.7,1.6,3.8,9.8
Grant,08069,CO,"Larimer County, Colorado",403.4, Stormwater Management - Detention/Retention Basins,3596251,2003,4,5.7,91.2,0.9,0.6,2.1,3.2,11.2
Grant,12091,FL,"Okaloosa County, Florida",402.1, Infrastructure Protective Measures (Roads and Bridges),498867.5,2003,12,8.3,78.8,9.8,0.6,2.9,4.3,8.7
Grant,19031,IA,"Cedar County, Iowa",91.1, Local Multihazard Mitigation Plan,8042,2003,8,2.2,97,0.7,0.3,0.3,1.3,1.9
Grant,19193,IA,"Woodbury County, Iowa",91.1, Local Multihazard Mitigation Plan,6000,2003,5,10.1,86.3,3.2,1.8,2.8,2.9,15.8
Grant,12086,FL,"Miami-Dade County, Florida",205.8, Retrofitting Public Structures - Wind,753291,2003,10,15.6,75.6,18,0.1,1.6,1.5,67.5
Grant,30069,MT,"Petroleum County, Montana",400.1," Utility Protective Measures (Electric, Gas, etc.)",19500,2003,5,8.7,98.5,0,0,1.5,0,0
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,35858.97,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,01003,AL,"Baldwin County, Alabama",106.2, Other Non Construction,0,2003,13,8.2,86.5,9.5,0.8,0.7,1.6,4.4
Grant,13073,GA,"Columbia County, Georgia",403.4, Stormwater Management - Detention/Retention Basins,361778,2003,2,5.9,75,16.5,0.4,4,3.1,6.2
Grant,55109,WI,"St. Croix County, Wisconsin",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,110100,2003,3,2.6,96.2,0.9,0.4,1,1.3,2.3
Grant,26089,NA,"Leelanau County, Michigan",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,72005,2003,NA,3.5,92.9,0.5,2.9,0.7,2.4,4.2
Grant,12029,FL,"Dixie County, Florida",202.3, Elevation of Public Structures - Riverine,25000,2003,12,17.1,87.1,7.1,0.4,0.5,3.3,3.9
Grant,12115,FL,"Sarasota County, Florida",205.8, Retrofitting Public Structures - Wind,112780,2003,12,6.2,91.3,4.5,0.2,1.7,1.6,8.8
Grant,24033,MD,"Prince George's County, Maryland",91.1, Local Multihazard Mitigation Plan,100000,2003,6,6.5,18.8,63.2,0.4,4.3,2.7,17.4
Grant,36059,NY,"Nassau County, New York",91.1, Local Multihazard Mitigation Plan,280176,2003,7,4.1,68.9,11.5,0.2,9.1,3.4,16.4
Grant,55025,WI,"Dane County, Wisconsin",405.1, Other Minor Flood Control,17211,2003,6,5.9,84,5.1,0.3,5.7,3,6.3
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,19193,IA,"Woodbury County, Iowa",91.1, Local Multihazard Mitigation Plan,6000,2003,5,10.1,86.3,3.2,1.8,2.8,2.9,15.8
Grant,19061,IA,"Dubuque County, Iowa",91.1, Local Multihazard Mitigation Plan,1507.94,2003,7,7.3,93.2,2.9,0.1,1.3,1.7,2.3
Grant,19027,IA,"Carroll County, Iowa",91.1, Local Multihazard Mitigation Plan,3500,2003,5,7.5,97.2,1.5,0.1,0.2,0.7,2.4
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,150000,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,54109,WV,"Wyoming County, West Virginia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3657538,2003,13,17.8,97.5,0.9,0,0.3,1.2,0.3
Grant,12115,FL,"Sarasota County, Florida",205.8, Retrofitting Public Structures - Wind,54987,2003,12,6.2,91.3,4.5,0.2,1.7,1.6,8.8
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,06001,CA,"Alameda County, California",900.1," Hazard Identification; 
91.1",382740,2003,5,7.4,42.6,11.1,0.6,28.9,6.4,22.5
Grant,19193,IA,"Woodbury County, Iowa",91.1, Local Multihazard Mitigation Plan,6000,2003,5,10.1,86.3,3.2,1.8,2.8,2.9,15.8
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,29632,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,25025,MA,"Suffolk County, Massachusetts",91.1, Local Multihazard Mitigation Plan,299950,2003,10,15.2,55.2,22.5,0.3,8.7,6.1,22.3
Grant,06111,CA,"Ventura County, California",91.1, Local Multihazard Mitigation Plan,108000,2003,7,7.1,79.9,1.7,0.8,7.2,4.4,42.3
Grant,06007,CA,"Butte County, California",900.1," Hazard Identification; 
93.1",257523,2003,6,12,82.2,1.5,1.2,4.5,6.1,15.7
Grant,19193,IA,"Woodbury County, Iowa",91.1, Local Multihazard Mitigation Plan,6000,2003,5,10.1,86.3,3.2,1.8,2.8,2.9,15.8
Grant,45053,SC,"Jasper County, South Carolina",91.1, Local Multihazard Mitigation Plan,18866.35,2003,4,16.7,51.5,43.7,0.1,0.7,1.1,13.2
Grant,04019,AZ,"Pima County, Arizona",91.1, Local Multihazard Mitigation Plan,125000,2003,2,12.8,76.9,3.5,3.5,2.8,4.5,36.6
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,884661,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,19097,IA,"Jackson County, Iowa",91.1, Local Multihazard Mitigation Plan,1507.94,2003,9,7.7,96.9,0.6,0,0.5,1.2,1.4
Grant,55059,WI,"Kenosha County, Wisconsin",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,396400,2003,5,10.2,85.8,7.5,0.4,1.3,2.9,12.7
Grant,48201,TX,"Harris County, Texas",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3145668.69,2003,12,13.9,63.3,18.9,0.4,6.8,2.3,42.2
Grant,25021,MA,"Norfolk County, Massachusetts",202.1," Elevation of Private Structures - Riverine; 
202.2",620100,2003,10,4.3,79.4,6.6,0.1,10.4,2.2,4.2
Grant,17097,IL,"Lake County, Illinois",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,1986317,2003,4,6.5,78.4,6.8,0.2,7.2,2.7,21.1
Grant,37119,NC,"Mecklenburg County, North Carolina",91.1, Local Multihazard Mitigation Plan,100000,2003,3,9.9,55.1,31.2,0.3,5.5,2.9,12.9
Grant,01117,AL,"Shelby County, Alabama",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3928759.8,2003,5,5,80.7,11.8,0.2,1.9,1.8,5.8
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,589294,2003,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,13245,GA,"Richmond County, Georgia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,195077,2003,2,19.5,38.2,56,0.2,1.8,2.5,4.8
Grant,41005,OR,"Clackamas County, Oregon",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,115448.05,2003,5,6.1,88.6,1,0.7,4.1,3.6,8.4
Grant,12011,FL,"Broward County, Florida",205.8, Retrofitting Public Structures - Wind,150000,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,19073,IA,"Greene County, Iowa",91.1, Local Multihazard Mitigation Plan,2500,2003,6,8,97.7,0.1,0.1,1.3,0.7,2.7
Grant,12011,FL,"Broward County, Florida",405.1, Other Minor Flood Control,3500100,2003,10,10.8,61.6,28.4,0.3,3.6,3,28.4
Grant,48201,TX,"Harris County, Texas",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,2226257.46,2003,12,13.9,63.3,18.9,0.4,6.8,2.3,42.2
Grant,13015,GA,"Bartow County, Georgia",403.1, Stormwater Management - Culverts,418050,2003,5,10.9,83.8,10.7,0.3,0.9,1.8,8.2
Grant,53033,WA,"King County, Washington",91.1, Local Multihazard Mitigation Plan,26071.31,2003,10,6.4,66.2,6.2,0.7,16.6,6.1,9.5
Grant,19045,IA,"Clinton County, Iowa",91.1, Local Multihazard Mitigation Plan,8042,2003,8,8.9,93.7,2.6,0.4,0.7,2.1,3
Grant,12115,FL,"Sarasota County, Florida",205.7, Retrofitting Private Structures - Wind,71519,2003,12,6.2,91.3,4.5,0.2,1.7,1.6,8.8
Grant,19019,IA,"Buchanan County, Iowa",91.1, Local Multihazard Mitigation Plan,7000,2003,13,6.3,97.7,0.3,0.3,0.6,1,1.5
Grant,48339,TX,"Montgomery County, Texas",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,126300,2003,11,7.6,86.4,4.6,0.3,2.8,2.3,23
Grant,01117,AL,"Shelby County, Alabama",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3320420.35,2003,5,5,80.7,11.8,0.2,1.9,1.8,5.8
Grant,42091,PA,"Montgomery County, Pennsylvania",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,4000000,2003,10,4.3,79.9,9,0.1,7.3,2.4,4.9
Grant,19013,IA,"Black Hawk County, Iowa",91.1, Local Multihazard Mitigation Plan,7000,2003,7,9.8,84.7,8.9,0.3,2.1,2.3,4.2
Grant,55005,WI,"Barron County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,66667,2003,4,7.4,95.7,1.2,0.8,0.7,1.1,2.4
Grant,55073,WI,"Marathon County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,80000,2003,4,6.9,91.2,0.7,0.3,5.7,1.7,2.7
Grant,55069,WI,"Lincoln County, Wisconsin",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,25000,2003,1,6,97,0.5,0.4,0.4,1.7,1.4
Grant,26021,MI,"Berrien County, Michigan",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,70000,2003,1,12.7,78.4,14.7,0.3,2,3.1,5.2
